Year,Japan,China,Korea,Singapore,Malaysia,Australia,Canada,America,Total_Quantity_Sold
2016,3610,9210,4200,9200,1200,2500,5710,6810,42440
2017,4033,8830,5100,6100,2100,3200,4713,7133,41209
2018,5587,7780,6550,9550,3550,4340,5463,8137,50957
2019,6357,6200,7870,8870,1870,5130,4939,9227,50463
2020,7836,5600,6560,7760,1560,6740,6272,10396,52724
2021,8569,4064,5890,7490,1890,6555,5746,11459,51663
2022,9075,3500,4780,8980,1780,6120,5643,12855,52733
2023,10014,2402,3860,9960,2860,6400,6974,10874,53344
2024,11120,1450,2100,8100,2100,6780,6612,9220,47482
2025,12557,660,1300,7300,2300,7890,7203,8857,48067
